BV1VA411w7jG 【亮记生物鉴定】网络热传生物鉴定34
BV1tv411w7xN 俄罗斯禁酒战争：被伏特加统治的战斗民族，如何与酒相爱相杀？
BV1Yq4y1k75s 这TM才叫“大难不死必有后福”【看了也没啥用】
BV1XL41137zh 【围炉夜话】为何我们如此贫穷？不只是缺钱那么简单。
BV1LL4y1v7d9 “在日落大道浪漫出逃，除了风没有别人知道”‖温柔且浪漫的文摘
BV1sq4y1P7ar 北大教授季羡林的日记能有多搞笑？！
BV1vq4y1N72o 从23楼跳下去一点事没有？原来是重庆啊！那没事了
BV1kU4y1c7tX 电影中的丧尸在现实世界到底有多弱
BV18g411K7mF 初三历史的千层套路
BV1q44y1e7j5 古人见面就磕头下跪，别被电视剧骗了！
BV1dF41187zV 她失去了双手双脚，却站在三尺讲台坚守12年，撑起了合江山区孩子的未来！
BV1wR4y1E7vV 曾仕强教授1990珍贵资料，神一样的预言
BV1oq4y1Z71x 勋宗是不是老司机？【小约翰】
BV1fq4y1z7q1 苏光宗上台后在愁啥？【小约翰】
BV1kQ4y1C7XD 非五常军力有多弱？最强战力竟是三哥！！！
BV1PU4y1P7EG 国家交给上海一个任务，硬刚百年未有之大变局！
BV1HQ4y1S7n9 “为什么会变成这样？”“没什么，爆炸时我挡在群众前面”
BV1T34y1Q71A 王伟牺牲后，8万红客奋起反击：瘫痪美国官网 并插上五星红旗
BV1Zq4y1V7Kk “中国辣王”李永志，每天吃5斤辣椒配高度白酒，如今已失去笑容
BV1fQ4y1U7YV 民间艺人的“活化石”——老武师李艺阳！
BV1fQ4y16782 那个电子脚镣不光锁在她身上，更是锁在中国人身上的耻辱！
BV1VT4y1f7jV 拯救4亿国人！打破两个世界纪录！却被当做小破书？
BV1uP4y1j7o3 人类历史上最残忍的酷刑—犹大椅
BV1444y1t7BA 谁想跟中国陆军打，那一定有病！
BV1kr4y1C7Q1 大叔认为辐射伤害大，用沥青涂满全身，连灯都不开，你怎么看呢？
BV1C34y1Q7yA 他花2年时间，收集384种中国颜色，国人很自豪：美炸了！
BV1ur4y1C7K7 千钧一发，毫厘不差！他用无齿锯切断灯泡上的钢丝而技惊四座！
BV18A411F7YC 《尚气》为什么垃圾？答案藏在我们的童年回忆《黄飞鸿》里【毒舌的南瓜】
BV1NQ4y1k7D9 被称为法国士兵最后的武器，硬度堪比实木，法棍为什么做的这么硬？
BV1DT4y197m8 首相交涉？总理求情？大使扯谎？在中国贩毒，天王老子来了都得死！
BV1CR4y1E7CJ 靠编竹子征服7000万老外！这个老大爷到底有什么魔力？
BV1Tq4y1S7Z9 100年都长不出来的脑袋，拉瓦锡生命最后一刻还在科学探索
BV1WR4y1476q 纳赛尔跟勋宗关系如何？【奇葩小国30】
BV18L4y1p7pj 黑人小伙，来中国苦读8年学中医。院长让他开贵药，愤怒辞职！一头扎进云南大山治病救人17年，这或许就是医德吧！
BV18f4y177nR 我爱上强奸我的人？为什么说性侵是一场社会性谋杀？ |《房思琪的初恋乐园》
BV1xf4y1P7om 5岁女娃身患绝症面临瘫痪，妈妈抱着女儿：你是来凡间渡劫的天使
BV1Fr4y1C7DK “强加于他人的善意，和恶意有什么区别呢”｜无法超越的动漫台词
BV1qT4y1o7iW 不理解日本有多疯狂，就不明白日本为啥会吃两颗原子弹？
BV15b4y1a7a4 时代楷模夫妻俩26岁上岛，无水无电月薪300，为国守卫孤岛32年。58岁因公牺牲
BV1gb4y1U7vV 如何卷赢古代做题家？【小约翰】
BV1w64y1h7Df 【巨型木偶傀儡】住宅区出现神秘木偶怪兽，居民们赶紧撤离
BV1fY411x7Ei 钢铁战士梁强舍身抱走因客车驾驶员不当操作而导致点燃的简易加油器，使乘客安全脱险，而他自己却身负重伤:烧伤面积85%，其中60%为3度烧伤，致敬舍己为人的英雄
BV13u411Z79C “在这个薄情的世界做一个深情的人，你就已经活成了一首诗”
BV113411t7rf 荒唐！中国教科书移除张衡，就像西方科技史不提牛顿
BV1BL4y1i7gw 当不同古人看见美女
BV1xv411P7Pd 【克苏鲁神话-创世篇 合集】克苏鲁从诞生，到沉睡，让你一口气撸完所有剧情！
BV1hf4y1u7fJ 他凭实力爱国，靠拍电影赚201亿，成功背后经历了什么？
BV12f4y1772e 澳大利亚被我国电话“拉黑”，国家领导人之间究竟是怎么打电话的？
BV1z34y1S7kP 连杀人都是无罪的地方！无人敢踏入！闯入者必死！
BV1pL4y1a7i1 一副画卖出7000万天价？中国最牛画家-冷军的传奇故事
BV1NL411x7ms 【分钟辟谣】顺下水道跑进家里的大肉虫子
BV1jb4y127Uc “戏一开腔，就一定要唱完”自创祖宗+自我感动+的营销言论，可笑至极！更是幼稚，愚昧，无知的另一种表现
BV1xQ4y167Sr 中文系日常
BV1RP4y157Ko 美国的奇耻大辱
BV1Bf4y1J7Cg 【阴 间 文 化 输 出】外国人也烧冥币“保平安”？
BV17q4y1z7ey 过亿！莫奈名画睡莲拍卖现场，两大佬&quot;打&quot;起来了?
BV1A34y1Q7Nh 印度提出加入五常，并取消一票否决权，被五常一票否决？【为什么历史27】
BV1n44y1e7vU 比姚明高25cm，世界最高的人类，现在连走路都很困难！
BV1qU4y1g7er 颠覆你认知的真相，西游记原著中那些细思极恐的细节，你敢看吗？
BV1pq4y1K7MT 五星红旗的特殊使命，独属于中国人的浪漫
BV1ug411F7fP 他是中国海报的标杆，设计一张至少100万，张艺谋都得排队
BV1wf4y1g7Gu 一场被遗忘的战争：新中国4年剿匪260万，惨烈的剿匪斗争
BV1vQ4y1U79r 快活王和路易十四谁的衣服比较多？【小约翰】
BV14U4y1w7DW b站网友写诗，一首比一首猖狂! !
BV1JQ4y1q77W 他是一名日本军人，却偷偷给中国军队送10万发子弹后自尽！
BV1Z44y187MU 中国天才“坑惨”美国，加入美籍后带20位博士回国，被誉中华神童
BV1rQ4y1y7x1 “看我视频的孩子，长大后，他们是不是会比我们这一代更好呢？”【破圈相对论Ep02】
BV1V34y1U7WV 印度公布印度士兵高强度军演视频！场面极其壮观！印度网友：这种机密视频不应该公开！防止大家笑死
BV1hS4y1d7uZ 印度日本入常被一票否决，中国首次一票否决权投给了谁？
BV1Nb4y127g3 三星堆新出土的扭头跪坐人像，到底哪里怪怪的？
BV1Lq4y1V7hX 政治强人普京，还能让俄罗斯续命多久？【乌鸦校尉】
BV1rv411M74p 英雄照相时已经牺牲，妻子用肩膀顶住他，才拍下这张“全家福”
BV1Fg411K7Lr 官匪勾结奸淫妇女，军阀太太沦落为妓女，这样的民国可真浪漫！【洞察社会系列61】
BV1gq4y1U7Gv 【让学】让子弹飞最难解的隐喻：为何把张麻子画成“朱元璋”？姜文电影中朱元璋画像的历史意涵和文化解读
BV1n44y1Y7Rt 这或许才是每个孩子都想要老师！有这样的老师，何愁国家不强！
BV1Eq4y1d7WU 二战时的澳大利亚，为何如此痛恨日本？居然连投降的日本士兵都不放过
BV1Lb4y187Yp 学霸钱学森
BV1A34y1U7Lg 深扒女鉴黄师：阅片无数、丧失性能力、女性从业者比男性多，真的日薪一万吗？
BV1fv411T7p3 DNA断裂！皮肤溶解！徒手掰开原子弹的他变成了活死人
BV1RR4y1t7ko 国家不应该忘记他，人民不应该忘记他！
BV1rF411Y7mC 这张照片上的人让你的课本厚了多少？
BV1fq4y1g7cZ 人类历史上最残忍的酷刑
BV19R4y1E7aj 穷得叮当响还要穿名牌，奇葩的非洲“萨普”人
BV1tP4y1b7CN 世界上最傲骨的演员
BV1xQ4y1k7jB 小潘潘的《黄梅戏》到底错在了哪？
BV1b341187oB 我去了一趟湖南湘潭，发现当地有部分人拒绝禁槟榔
BV1t64y1h7Zi 这个最牛北大保安，你们还记得吗？
BV1YQ4y1y7fN 向特权阶级进攻的人，为什么都逃不了被清算的命运？【乌鸦校尉】
BV1ob4y1y7pA 巴布亚“食人族”，住在树顶的的部落
BV1Yg411K75y 教你如何获得联合国儿童基金会戒指
BV15L4y1q7kz 他是科学家的“大禹”，用一生守护国土让黄河水变清！
BV1SP4y1a7jr 文化输出的社s瞬间！我胆儿肥了，给美国小孩讲起甄嬛传来了
BV1hv411u7Ez 生活中有多少反人类设计？
BV13R4y1n72f 女子生吃淀粉上瘾，连续吃了十六年，每天都要吃两大盒
BV1KM4y1G71o 超越曹县的存在 它出现了！
BV1164y1h7qh 为什么历史上曾大规模灭佛？
BV1Kq4y1G7yA 我们为什么要拉着一堆老外研究中国崛起的秘密？
BV1nb4y1Y7t4 六个死囚对最后一餐的奇怪要求。
BV1ab4y117LB 法西斯主义创始人，有名无实的凯撒：墨索里尼（上）【历史调研室25】
BV1CL4y1z7qX 春晚舞台上的第一个“讽刺小品”竟然是它？【难忘今朝1986】
BV1eM4y137MT 胃癌晚期时的艾跃进教授
BV1Mh411n7p8 理想地形图
BV1t34y1D7yG 曾经的中国制毒第一村！一天搜出三吨冰毒！有枪支还有手雷！《破冰行动》原型案件
BV1DU4y1F7KY 美女假扮名媛出入高级场所，身无分文混吃混喝21天，竟无一人察觉
BV1hL4y1i7um 面试时这样写不知道他们会不会骂我？
BV1RQ4y1q7df 韩国98岁奶奶，身体机能仅有20岁，一口气能跳绳600次，真是厉害
BV1S64y1h7D6 “我从此不敢看观音。”
BV1h341127mw 乌合麒麟新作《归舟》，藏了哪些隐喻？【毒舌的南瓜】
BV1J34y1D7sV 儿子被刑拘，老人竟叫一帮警察帮忙收割4亩稻谷！
BV12A411F76o 搞特殊？为什么云南白药不用写明药物成分？
BV13h411J7B3 敢死队员郭荣昌，为抢回张自忠将军的遗体，他的双眼被日军毒气弹熏瞎
BV1nQ4y1y7AR 有山先生受山东卫视邀请，成为国学讲师！！
BV1ZP4y1V75i 兵马俑冷知识:德国小伙假扮兵马俑，太逼真，骗过安保，外国人太痴迷了吧!
BV1Bq4y1R7GK 那个把所有的勇气写到了书里的女孩，唯独没有就给自己！
BV1HP4y1a7ms 乌合麒麟新作《Nuts》解析：千王之王美利坚，赌博既要钱更要命！【毒舌的南瓜】
BV15q4y1d7Vp 【女权】田园女拳的最终结局是什么？历史已经预演了一切！
BV1uv41137dx 日本男子在不知情下被全裸直播15个月！上演现实版《楚门的世界》
BV1tq4y1T7W9 让子弹飞过现实：“鹅城”的税收史有多真实黑暗？【闲木鱼】
BV1Nq4y1S7fa 吃熊心豹子胆了？全国只有23人竟然敢向澳大利亚宣战？23人组成的国家是什么样的？卡斯勒：夹缝中求生存
BV1DU4y1g7Bw 太原火车站一老人去世，僧人为其超度，地震后寺庙主持破解，让108个宝宝在寺院出生。
BV18u411Z7v4 底层如何发声？血泪和死亡铸成亿万打工人的诗！
BV1gQ4y1a7V9 战场上亲手割掉右臂的“狠人”，全军唯一敬“左手礼”的将军！
BV1dg411K7hm 古猫丨你们山西人都这么会吗？
BV1Xh411H7zG 【写作素材】“于群峰之上，更觉长风浩荡。”丨人民日报第二期
BV1jq4y1Z7J7 女孩怀疑男友不忠，派动作片老师去测试，结果让她肠子都悔青了
BV1tu411o7bZ 当颜色被资本垄断：世界上最贵的蓝，世界上买不到的黑...
BV1sq4y1G7V6 21岁还在读小学，一年级就学了15年？
BV1z44y1x7tP 力压《长津湖》，豆瓣9.1，抗美援朝题材神作《功勋》究竟好在哪里？【毒舌的南瓜】
BV1Zw411f7wT 埃博拉：人类的诅咒，你的身体如何对抗它，它到底有多恐怖……|自说自话的总裁
BV1e44y1e74Y 世界最大玉雕出自中国匠人之手，118吨的玉石雕成万里长城，细节令人震撼！
BV1uP4y1Y7My 清华大学图书馆借阅量排名
BV1r34y1R7XX 中国——在其他国家眼里有多奇怪？
BV1ig411V7MG 你说这朱元璋到底长啥样啊？
BV1cP4y1b7z5 韩国为什么会成为世界第一情色大国？十年扫黄为什么越扫越黄？【世界荒唐史】
BV1rf4y1F7GX 不为金钱只图刺激，参加完三届奥运会后，她成为时薪600美金的头牌应召女郎 | 奇闻观察室
BV1rf4y1F7AC 开国大典珍贵影像解析！登上了天安门城楼的都有谁？
BV1S34y1m7Gj 凭一截电线掉漆程度逆向推理破案！【刑侦八虎05】
BV17b4y1h7Wk 美国玩命女子监狱02，美女囚犯被判110年，她却用实力让监狱颜面扫地
BV1wv411g7Sv B站只有2个视频的非遗工艺，难道就快失传了吗？【广东潮州枫溪陶瓷工艺·非遗纪】
BV1P44y1b7qD 老视频：中学知识：西南地区为啥叒震了？
BV1U3411k7xr 诈骗天堂,水牢,剁指,黄金万两,缅北到底有多黑暗？【牛顿】
BV1jv411u7i8 时代的魔怔：韩国女权到底有多可怕？
BV1Rg411F7FX 上海第一网红自助餐一绪寿喜烧，人均200+的日料火锅，以假乱真、食材回收
BV1Vh41187aM 我收到了联想的律师函，同时谢谢B站帮我顶了压力
BV1864y187PN 出生人口暴跌，别再内卷了
BV1Qw411f7SQ 马云一句话损失上万亿，不仅空手套白狼还妄想染指金融？
BV1CL411u7yU 凶案现场？血水外渗？喷射套餐？蟑螂老鼠油污，你吃的网红外卖到底有多脏？【牛顿】
BV1sP4y187DX 【半佛】陪玩行业终结者，是你老大爷。
BV1AU4y1N7WS 印度人均偷电？我国逆风翻盘！开局丐配，开挂的中国电网有多牛逼？【硬核央企】【牛顿】
BV1Fv411u72b 暗访麦当劳，食材过期、餐盘不洗、奶浆漏了三天还继续用
BV1N64y1a7c4 千万不要省吃俭用去买钻戒
BV1DT4y1o7TM 一张头像价值千万，能抵深圳一套房，NFT是数字艺术还是金融泡沫？
BV17P4y187Cn 【半佛】美特斯邦威时尚？没跟你闹。
BV13b4y1h7gZ 同一个宿舍6个985金融男，毕业15年后的真实人生【毯叔盘钱】
BV17Q4y1D7Nn “人间蒸发”84天，“李子柒”毁了李子柒，这样的真相太扎心！
BV1Gr4y1173C 卧底偷拍团伙：安装10分钟 月入10万 按刺激程度标价出售 还有男拍男？【黑暗森林10】
BV1yQ4y1i7qN 卧底贩婴圈（上）：提前抢购，7万包邮，不满意退款【黑暗森林09】
BV1kL411t76z 卧底迷药圈：手把手教你下药，买药人络绎不绝，还有女吃男组织？【黑暗森林06】
BV1Vb4y117Dc 暗访茶百道，换有效期标签是为了应付工商局检查
BV18U4y1u7yx 【半佛】关于丁克的选择与挣扎
BV1wf4y1M7gp 为什么大家越来越讨厌腾讯了
BV1xQ4y1D79d 韭菜测试：看看你的含韭量
BV11f4y1g76X 旱厕滤镜？种草诈骗？网红景点如何疯狂收割韭菜？【牛顿】
BV1oU4y1w79x 揭秘恒大财务魔法，千亿负债去哪了？
BV1kq4y1g7Cv 被知识付费团队起诉！要我道歉，还赔钱？！我们法庭上见！
BV1434y1U72X 天价维修？计划报废？看完苹果发布会，谁偷走了我们的维修权？【牛顿】
BV1H3411b7Xb 暗访吉野家，蔬菜过期，肉沫变质，油质发黑添加新油继续使用
BV1e3411177H 被律师函警告了，但这个知识付费的视频我绝对不删！
BV1BL4y1q7sM 百年风云史：百事可乐VS可口可乐【不正经BB】
BV1kL4y1q7hJ 深圳的房子，开始被集体抛售了！
BV1nf4y1w7mM 中国“无根一代”崛起，现在年轻人为什么不爱走亲戚了？
BV16L4y1h796 你捐的旧衣服都去哪儿了？我装了10个定位器｜我有个想法
BV1nS4y1979Y 董明珠的接班人是22岁的孟羽童？呵呵，一切都是绝妙的剧本，我来告诉你真相
BV1og411K7Ek 马化腾落泪，腾讯营收15年来增速最低，游戏行业变天了？
BV1S44y1x7tW 青岛这个小区，公摊竟然达到了46%！买房一半都是公摊！别人买房送公摊，这家买公摊送房！
BV1D44y1476J 电影票为什么越来越贵了？
BV1hq4y1R7NQ 谨以此视频献给B站和所有B站粉丝，感谢你们在联想事件上对我的支持和帮助，爱B站，爱你们
BV1qq4y1V7zu 关于人口，安徽4年走了日本40年的路
BV1ER4y1t7BF 【半佛】海底捞不行了？你不知道的海底捞。
BV1HP4y157e7 卧底捐精群：一周4次就能怀孕？“真枪上阵”背后的扭曲人性【黑暗森林11】
BV17Q4y1X7JY 恶意丑化国人！耐克高调宣传眯眯眼惹怒全网，刘强东反制大快人心
BV1kQ4y1D7sr 老小区装电梯：底层与高层的道德和金钱博弈
BV1Jg411F799 海底捞为什么没以前那么火了？
BV14Q4y1y7qG 一碗面标价38元，这就是拿资本投资的下场吗？【雪鸡快评】
BV1Lq4y157U8 中国城市大洗牌，这些城市将会崛起，年轻人选哪座城市有钱途？
BV1VQ4y1B7kD 美团被罚尘埃落定？承担社会责任才是他们的当务之急
BV1Sb4y117xu 【半佛】瑞幸痛揍新消费。
BV1Db4y1y7HD 【半佛】结婚防坑调查指南
BV1cF411h7aT 【半佛】科学的刀，打断消费主义的骚
BV1m44y187fa 刘强东：30年前我们说好了要先富带动后富
BV1zv411T7bq 苹果被拒绝，订单竟然没人接？
BV1YL411G7Dc 联想凭你也配背刺华为？
BV1HU4y1M7dJ 电竞学校，劝退网瘾？
BV1hf4y1T76k 南孚聚能环就是塑料环？那为啥它还比别的电池好用？
BV1VQ4y1Q75R 鸿星尔克的商业困局，不止于吃了几碗粉的慈善难题【曹小灵】
BV1LT4y1o7Qx 年轻人暴打韭菜经济学【半佛】
BV1Lb4y127Md 广州房价，彻底凉了！
BV1Vu411o775 倪光南出走联想的真正原因，联想如何通过上市把国企变成民营
BV13v411M7ag 海底捞为什么捞不动了：告诉你新加坡首富的财富密码
BV1xT4y197U6 【半佛】方便面背后的秘密
BV12L4y1i7JS 大学生分享背单词技巧。网友:请把四六级所以词汇教给我#知识分享一下#
BV1Nf4y1K7PD dormitory：n.集体寝室，宿舍
BV1QU4y1u7Z8 很多人问我“美女”到底用英语该怎么说？今天我来给你准确介绍下。
BV1V3411k7Q1 【耶鲁大学】知名公开课：哲学——死亡 | 教授带你
BV1uh411b7u7 全省唯一！成都16岁高一学生保送清华大学，本硕博八年贯通培养，据采访，本次丘成桐数学竞赛第一批次，四川仅录取三人，三位同学均出自嘉祥锦江
BV1rS4y1d7vc 有人说我的声音像siri😂英语配音苹果广告
BV1XP4y1G7gi 总是胡思乱想、心累、焦虑？如何停止精神内耗？
BV1X3411k7CX 学生时代最大的陷阱
BV1e34y1o7tu 学生集体给老教授惊喜，很温馨
BV1Xr4y1C7pU 函 辅 导
BV1ZL411g7Pb 上课！是全国老师！！最后的倔强！！
BV1cS4y1R7Pp 寒门学子太难了，但好在寒门的孩子吃惯了生活的苦，即使面对再大的苦难也都坚定的走下去。
BV1eS4y1R7nv 〖四级单词〗predict：vt.预言，预告，预测
BV14q4y1r7Cq 电梯：elevator
BV1xQ4y1S7eM 【快乐记单词】supple：柔软的
BV1ug411T71V 导 辅 导
BV1QF411a7jR 36岁华裔女性当选波士顿首位女市长，胜选演讲完整版
BV1ub4y1a7S1 用了这么多年“狗头”，总得知道它的英文吧！
BV1oh411x7zd 怎么变成一台无情的学习机器？
BV1bf4y1T7Mg 刺客“assassin”拆开是 ass+ass+in（戳屁股）？真相比段子恐怖100倍！
BV1bf4y1T7Mg 刺客“assassin”拆开是 ass+ass+in（戳屁股）？真相比段子恐怖100倍！
BV1Yh41187uY 这些中国影视剧的英文名，你能猜对几个？
BV1eY41147bz 每天一分钟，_____________
BV1HR4y1E742 搞笑英语：大腿 thigh
BV1uq4y1V7Ws middleman：中间商
BV1fL411M7D1 西宀电子科技大学：大场面，是我一年看到的女的了，顾不过来，人太多了
BV1qQ4y1q7YE 全校231名教师，只有姚燕燕老师师德考核不合格，引发巨大争议
BV1HT4y1R7dB 【录屏】某复旦博士给猫讲流体力学视频流出
BV1xU4y1T7cD 【沉浸式做题】语文老师阅卷后：与标准答案不一样，做对也没分
BV19f4y1u7CM #日语学习#自我介绍#日本人是怎么学习五十音图
BV11L4y1i7S1 泉水：fountain
BV1LP4y1j7os 爆肝9h，刷完肖八，送上笔记！【全网首发/空卡】
BV1dh411b7fD diss：怼，损
BV1pv411T7rM 我要在b站建所大学，送给每个大学迷茫的你！！！【框框的b站大学-导论】
BV14T4y1d7QR 搞笑英语：速度 speed
BV1cv411g7gA 进来，跟你算笔高三的时间账
BV1fF411a79q 14min学完毛中特，最强框架！【政治速成课/空卡带背】
BV11L4y1B7no [成信七十周年校庆]校友代表陈睿致辞
BV1KL41137Uk 厚脸皮的：cheeky
BV1C3411k7cw 初一俄语教材
BV1Rh411b7UE 张雪峰：考研跨专业怎么面对复试面试？
BV1cS4y1R7R1 探究《尚气》里的中文对白为何如此蹩脚，再一一改正，寻本溯源
BV1fL411T7bH 快@你们班的傻子来做这个简单的地理、物理题！
BV1TU4y1g72c 中国教育，欠学生一节“死 亡 课”
BV1Xq4y1G74C 搞笑英语：乞丐 beggar
BV1fF411877M 学习通考试后台能看到什么？快艾特姐妹一起get✓！你还想知道哪个？评论在下方吧
BV1tq4y137rW 「高中数学」如果你被「函数」烦恼，花10分钟解决你！
BV1VL4y1i7us 【考研调剂】都这个点了，不来了解一下调剂吗？
BV1dS4y19733 “给你”用英语几种不同的说法，你都学会了吗？
BV1Sq4y1G7eR 高一如何成为师生眼中的明星 高一高二高三高中数学高考
BV1pq4y1u7mK 理科强者恐怖如斯？！天才的思考模式是可以习得的！别再将自己分到笨鸟只能努力的类别！
BV1UP4y1575k 【英语课堂】有 幸 都 会 读 就 是 买 不 起 |10个最难读的大牌单词
BV1nL4y1p7q5 课堂规则：最好的“疼爱”是手放开。
BV13341187Vz 冠 军 题
BV1WM4y1P766 一学就困？【我保持不困的秘诀】如何高效睡觉 学习 工作
BV1XU4y1F7kz 30min学完近代史所有考点！【考研政治速成/空卡带背】
BV1f34y1R7Re 老外爱用的这些emoji都是啥意思
BV1dg411P7De 我们自己做的在线论文阅读神器ReadPaper【硕博科研学术文献综述必备】
BV1gP4y1j722 食堂：canteen
BV1Ug411P7AD 别再用 I potato you 了，真过时！
BV1Wq4y167Du 语文课本中那个被暗杀的人，到底有多厉害？
BV1v34y1Z7rQ 日语教程【0-N1】全套合集!目前最完成的日语教程~从五十音开始学！
BV1CM4y1P7y7 李新友老师《化学实验事故》完整版【农安实验中学】
BV1Ff4y1K7vA stepmother：后妈，继母
BV1tQ4y1m7Fh 13min背完肖八大题：马原救命班【空卡带背】
BV1tf4y1T7ZD 1【英语听力口语合集】86版本《西游记（1部+2部）总集》 英文版（双语字幕）经典永流传！！！_【最全合集】01 猴王初问世_1080P_HEVC_1080
BV1pT4y197mr exercise：运动，练习
BV14h411s7uY 给语速气人的卷福做翻译有多难？这位翻译小姐姐的实力绝对吊打大多数翻译硕士！
BV1zq4y157jd “外国人”的英语别说“Foreigner”，如果有人叫你Foreigner,你也要注意了 | 聊聊英语
BV1wP4y1j7gw invent：发明
BV1dv411T7uY 将福利进行到底，打造B站最具有性价比的外教课程，沉浸式学习提升英语新高度！
BV1ub4y1a7gA karma：报应
BV1Wq4y1G7Wb unless：除非
BV1zq4y1r7DF 【考研政治徐涛官方50天带背】
BV1BL4y1q7pH 舒适的：comfortable
BV1xr4y1Q7qB 某数学老师在不雅网站教数学，年收入竟破百万
BV1bS4y1R7GG [台湾热点]岛内近期最火的微积分系列影片，最新一期课程来了,还附上解答
BV1BU4y1u7qW 老子：你才姓老！我明明姓李！
BV1qq4y1g7x6 【南师附中】英语课表演《元首的愤怒》
BV1C34y1d7vz “erroneous(错误的)”高级单词-第2集
BV1RP4y1G7wq 英 语 口 语 作 业
BV14Q4y1v7d1 歪果仁听王嘉尔说英语，没想到你居然会抢答？
BV1oT4y1R7W7 歪果仁听郎朗说英语，刚看到，真上头！
BV1G341187vU language：语言
BV1hf4y1T7iS 作为一名英语老师，尤其是native speaker，请一定要严谨教学，由于你的错误，误导了很多的学生，真是气愤。
BV1cq4y1r7Mt 【四六级】一个月过四六级：干货技巧，让你稳过！3周猛涨200分保姆级教程！2021四六级|2021下四六级
BV1jY41147Qh 8min背完肖八时政，原创口诀！【空卡带背】
BV1T34y1d7Rv 每日英文听力|世界需要你的奇奇怪怪🎈
BV1Rh411b7YK 我 要 学 这 个
BV1RQ4y1v7BU 考研反内卷名师联盟
BV1Jg411T7AX 7年新闻主播的眼神管理法，解救双眼无神，演讲不自信！
BV1Gf4y1M7tE type：打字
BV1u44y1Y7by 学 借 代 词
BV1nL41137SW 这4个错误，1个都不能犯！模版在上个视频
BV1AF411Y7Wc I simp you，懂 ？
BV13T4y1d7Tc 感谢冬奥会官方为考研er送来小作文模板
BV1LL4y1z7N3 晚上食堂变自习室，同学大呼“太卷了”
BV1gf4y1u7Kn apologize：道歉
BV1eh411s7S6 本科毕业无法就业？40岁高薪却头秃？张老师又跑去说大实话了……
BV1V44y1v7jq 【趣味日语】奪う(うばう):抢夺，吸收，夺冠
BV1WY411x7R9 explain：解释，说明
BV1rh411t79d 30天过十遍考研单词
BV16S4y1d7rb 日语0-N1全套教程！B站最完整合集，学会省10万学费！求求三连了！
BV1RR4y1t7AH 搞到了清朝的微积分课本，这都是一些什么符号啊？
BV1hY41147MQ 台下何人？复姓皇甫fǔ！
BV1ZS4y1Q7cd 8min背完三新一高+经济体系【空卡带背/政治速成】
BV1dL411M76i 考研加油，这是「新的起点」【mv首发/空卡】
BV1JL4y1p7yk “utilize(使用)”高级单词-第4集
BV1gQ4y1Q7gX 一对一面批4：拼音不会就算了，怎么画画也这么难呢？是“m”不是“M”！
BV1KL411g7hc 做到系统学习，高三一年从450到662！
BV1Lq4y1k7zS 【逼你自律】超高效学习自我管理Notion模板分享丨目标管理丨截止日管理丨课业管理丨周计划丨多人自习室丨番茄钟
BV1K34y1d796 quarrel：争吵，吵架
BV1vP4y1G7VF 化学老师:血压飙升
BV1xS4y197ad 对数 学的怀疑人生？从本质精通运用！
BV14Q4y1U7PT 霉霉又瘦回来啦！上节目聊近况：老娘的歌总算是自己的了！
BV1Eg411K7f4 几乎两米高的书，30多本笔记，6.30起床，2点睡，我考过了公考、法考、注会专业和税务师，今年南开大学考研上岸，这只是起点，我打算再挺一年！
BV1bQ4y1U7Ns consequence：n.结果，后果
BV1PF411Y7mb 单词“Their”, “Our”，这样念超丝滑！
BV1tT4y1d7fh distort：歪曲，曲解
BV1dg411P7jM “a myriad of(很多)”高级单词-第3集
BV1Lq4y1k7zS 【逼你自律】超高效学习自我管理Notion模板分享丨目标管理丨截止日管理丨课业管理丨周计划丨多人自习室丨番茄钟
BV1K34y1d796 quarrel：争吵，吵架
BV1vP4y1G7VF 化学老师:血压飙升
BV1xS4y197ad 对数 学的怀疑人生？从本质精通运用！
BV14Q4y1U7PT 霉霉又瘦回来啦！上节目聊近况：老娘的歌总算是自己的了！
BV1Eg411K7f4 几乎两米高的书，30多本笔记，6.30起床，2点睡，我考过了公考、法考、注会专业和税务师，今年南开大学考研上岸，这只是起点，我打算再挺一年！
BV1Cr4y1y7Y6 我国的学历天花板竟然是.....?
BV1bQ4y1U7Ns consequence：n.结果，后果
BV1PF411Y7mb 单词“Their”, “Our”，这样念超丝滑！
BV1tT4y1d7fh distort：歪曲，曲解
BV1dg411P7jM “a myriad of(很多)”高级单词-第3集
BV1WF411h7cU “我英语不好”英语怎么说My English is poor?
BV18q4y1R74h diarrhea：腹泻，拉稀
BV15b4y187y3 一个高中生是如何废掉的。
BV1iv411T7WU 【心理教授演讲节选】不要再浪费眼前的时间和机会了!
BV1rh411b7Nx 外语新闻，逐句精听，坚持用正确的方法学英语。跟着我，磨出英语耳
BV18r4y117qa bet：赌，打赌
BV1vQ4y1S75v 那些一看就会写的连笔字
BV1G44y147zu supercalifragilisticexpialidocious：人见人爱，花见花开，车见车爆胎
BV1dr4y1r7qx confuse：混淆，迷惑
BV1kQ4y1v76n 导师拿了我的一作 我无法申请理想高校😭
BV16Q4y1q7nv 在清华大学，每月生活费到底要多少钱？
BV11Q4y1U7GT 我们因梦想而伟大！最美翻译官张京16年前曾在比赛中即兴演讲：我的梦想是成为一名出色的外交官！曾放弃清北保送只为完成梦想，为“翻译女神”点赞！
BV17h411b7mH cognitive：adj.认知的，认识能力的
